K,Distance,Voting scheme,Weight scheme,Accuracy,Precision,Recall,F1,Solving Time
1,minkowski1,Majority_class,Mutual_classifier,0.9363395225464191,0.9411048721393548,0.9363395225464191,0.938700556737692,10.936582803726196
3,minkowski1,Majority_class,Mutual_classifier,0.9575596816976127,0.9370222086317122,0.9575596816976127,0.9471796309475031,9.21061635017395
5,minkowski1,Majority_class,Mutual_classifier,0.9655172413793104,0.9372707263389581,0.9655172413793104,0.9511843268649075,9.246000528335571
7,minkowski1,Majority_class,Mutual_classifier,0.9655172413793104,0.9372707263389581,0.9655172413793104,0.9511843268649075,9.404370546340942
1,minkowski1,Majority_class,Relief,0.9681697612732095,0.9373526866438235,0.9681697612732095,0.9525120292849637,14.221016883850098
3,minkowski1,Majority_class,Relief,0.9681697612732095,0.9373526866438235,0.9681697612732095,0.9525120292849637,13.47607684135437
5,minkowski1,Majority_class,Relief,0.9681697612732095,0.9373526866438235,0.9681697612732095,0.9525120292849637,13.51312804222107
7,minkowski1,Majority_class,Relief,0.9681697612732095,0.9373526866438235,0.9681697612732095,0.9525120292849637,13.68153715133667
1,minkowski1,Majority_class,ANOVA,0.9389920424403183,0.9413603637741568,0.9389920424403183,0.9401703579992213,8.56634521484375
3,minkowski1,Majority_class,ANOVA,0.9655172413793104,0.9372707263389581,0.9655172413793104,0.9511843268649075,8.514307975769043
5,minkowski1,Majority_class,ANOVA,0.9655172413793104,0.9372707263389581,0.9655172413793104,0.9511843268649075,8.502363681793213
7,minkowski1,Majority_class,ANOVA,0.9655172413793104,0.9372707263389581,0.9655172413793104,0.9511843268649075,8.455881357192993
1,minkowski1,Inverse_Distance_Weights,Mutual_classifier,0.9283819628647215,0.9404591633293459,0.9283819628647215,0.9343089728345376,9.260994911193848
3,minkowski1,Inverse_Distance_Weights,Mutual_classifier,0.9549071618037135,0.9369384786514932,0.9549071618037135,0.9458374872682644,9.292491912841797
5,minkowski1,Inverse_Distance_Weights,Mutual_classifier,0.9575596816976127,0.9370222086317122,0.9575596816976127,0.9471796309475031,9.336386680603027
7,minkowski1,Inverse_Distance_Weights,Mutual_classifier,0.9655172413793104,0.9372707263389581,0.9655172413793104,0.9511843268649075,9.24971342086792
1,minkowski1,Inverse_Distance_Weights,Relief,0.9681697612732095,0.9373526866438235,0.9681697612732095,0.9525120292849637,13.49522066116333
3,minkowski1,Inverse_Distance_Weights,Relief,0.9681697612732095,0.9373526866438235,0.9681697612732095,0.9525120292849637,13.502934694290161
5,minkowski1,Inverse_Distance_Weights,Relief,0.9681697612732095,0.9373526866438235,0.9681697612732095,0.9525120292849637,13.381037712097168
7,minkowski1,Inverse_Distance_Weights,Relief,0.9681697612732095,0.9373526866438235,0.9681697612732095,0.9525120292849637,13.598765850067139
1,minkowski1,Inverse_Distance_Weights,ANOVA,0.9389920424403183,0.9413603637741568,0.9389920424403183,0.9401703579992213,8.480160236358643
3,minkowski1,Inverse_Distance_Weights,ANOVA,0.9602122015915119,0.9371054908580264,0.9602122015915119,0.9485181423028466,8.508517265319824
5,minkowski1,Inverse_Distance_Weights,ANOVA,0.9655172413793104,0.9372707263389581,0.9655172413793104,0.9511843268649075,8.552175283432007
7,minkowski1,Inverse_Distance_Weights,ANOVA,0.9655172413793104,0.9372707263389581,0.9655172413793104,0.9511843268649075,8.430162906646729
1,minkowski1,Sheppards_Work,Mutual_classifier,0.9177718832891246,0.9472350494333254,0.9177718832891246,0.9314719200738535,9.537571668624878
3,minkowski1,Sheppards_Work,Mutual_classifier,0.9575596816976127,0.9447689590825571,0.9575596816976127,0.9506592857417445,9.35419511795044
5,minkowski1,Sheppards_Work,Mutual_classifier,0.9655172413793104,0.9372707263389581,0.9655172413793104,0.9511843268649075,9.219007730484009
7,minkowski1,Sheppards_Work,Mutual_classifier,0.9655172413793104,0.9372707263389581,0.9655172413793104,0.9511843268649075,9.198935985565186
1,minkowski1,Sheppards_Work,Relief,0.9681697612732095,0.9373526866438235,0.9681697612732095,0.9525120292849637,13.55290675163269
3,minkowski1,Sheppards_Work,Relief,0.9681697612732095,0.9373526866438235,0.9681697612732095,0.9525120292849637,13.454157829284668
5,minkowski1,Sheppards_Work,Relief,0.9681697612732095,0.9373526866438235,0.9681697612732095,0.9525120292849637,13.615006446838379
7,minkowski1,Sheppards_Work,Relief,0.9681697612732095,0.9373526866438235,0.9681697612732095,0.9525120292849637,13.665188074111938
1,minkowski1,Sheppards_Work,ANOVA,0.9389920424403183,0.9413603637741568,0.9389920424403183,0.9401703579992213,8.497498035430908
3,minkowski1,Sheppards_Work,ANOVA,0.9655172413793104,0.9372707263389581,0.9655172413793104,0.9511843268649075,8.601717233657837
5,minkowski1,Sheppards_Work,ANOVA,0.9655172413793104,0.9372707263389581,0.9655172413793104,0.9511843268649075,8.454732656478882
7,minkowski1,Sheppards_Work,ANOVA,0.9655172413793104,0.9372707263389581,0.9655172413793104,0.9511843268649075,8.468100786209106
1,minkowski2,Majority_class,Mutual_classifier,0.9336870026525199,0.9450208907612558,0.9336870026525199,0.9391749748467941,15.614672899246216
3,minkowski2,Majority_class,Mutual_classifier,0.9628647214854111,0.9371883289124668,0.9628647214854111,0.9498530360599325,15.72338604927063
5,minkowski2,Majority_class,Mutual_classifier,0.9628647214854111,0.9371883289124668,0.9628647214854111,0.9498530360599325,15.639364957809448
7,minkowski2,Majority_class,Mutual_classifier,0.9655172413793104,0.9372707263389581,0.9655172413793104,0.9511843268649075,15.713967323303223
1,minkowski2,Majority_class,Relief,0.9681697612732095,0.9373526866438235,0.9681697612732095,0.9525120292849637,19.11276888847351
3,minkowski2,Majority_class,Relief,0.9681697612732095,0.9373526866438235,0.9681697612732095,0.9525120292849637,18.885253429412842
5,minkowski2,Majority_class,Relief,0.9681697612732095,0.9373526866438235,0.9681697612732095,0.9525120292849637,19.26974582672119
