K,Distance,Voting scheme,Weight scheme,Accuracy_mean,Accuracy_std,Precision_Class_0_mean,Precision_Class_0_std,Recall_Class_0_mean,Recall_Class_0_std,F1_Class_0_mean,F1_Class_0_std,Precision_Class_1_mean,Precision_Class_1_std,Recall_Class_1_mean,Recall_Class_1_std,F1_Class_1_mean,F1_Class_1_std,Solving Time_mean,Solving Time_std
3,minkowski1,Inverse_Distance_Weights,Mutual_classifier,0.9586709089508642,0.014778377713251368,0.9574698685158716,0.02696782283096821,0.9607831746920492,0.015098015602367289,0.9588699872742824,0.014337278602056976,0.9608602770699678,0.01437345921399111,0.9565397536394178,0.02807521070608747,0.9584474958123002,0.015244261851777264,1.8810088634490967,0.13636845705178915
5,HEOM,Sheppards_Work,Mutual_classifier,0.9581361204429513,0.01672241041980143,0.95567177458293,0.0296542255176303,0.961857969391564,0.01672630837475281,0.9584481215659272,0.01612607734062711,0.9618583492575435,0.015974283535751182,0.9543784994400897,0.03170590522011233,0.9577864863518186,0.017374035257135982,1.5416073322296142,0.09972595650950745
3,minkowski1,Sheppards_Work,Mutual_classifier,0.9576182773719168,0.01394137533211382,0.9545918372023022,0.02729830324496899,0.9618579693915642,0.014349233746586554,0.9579316552811477,0.013403370368630985,0.9617964646085646,0.013431616366092771,0.9533482642777157,0.028876770683501418,0.9572724767774183,0.014521674280700258,1.8484333515167237,0.09664748447884533
5,minkowski1,Majority_class,Mutual_classifier,0.9565599874390467,0.017627962723690244,0.9553058270583467,0.02611148823139257,0.9587108062709968,0.024083682686047336,0.9567017692628014,0.017462820705937115,0.9590414126205478,0.02359243136330453,0.9543784994400897,0.02744524262556673,0.9563890850736552,0.017828397736331648,1.9312599658966065,0.11568669697806329
5,minkowski2,Sheppards_Work,Mutual_classifier,0.9565543883349035,0.01731309402323577,0.9534586091195717,0.027535307454915146,0.9608272676371781,0.02049491935163713,0.9568420250255274,0.01682042536451675,0.9608271063482802,0.02008898811048094,0.9522508398656215,0.028920742079849612,0.956236540672991,0.01783726801973401,3.5073326349258425,0.42877245735066927
5,HEOM,Majority_class,Mutual_classifier,0.9565432197515064,0.01301764384822251,0.9563344110010046,0.025693461472909383,0.9576026502426279,0.016667128811025927,0.9566782500238935,0.012601321710893676,0.9578675302608826,0.015480926895318645,0.9554535274356104,0.026857123105703394,0.9563793311642719,0.013470006431938976,1.7157530784606934,0.30375260886806243
5,minkowski1,Sheppards_Work,Mutual_classifier,0.9560169335869222,0.014635224443197111,0.9551822520222633,0.024182036068398652,0.9576026502426279,0.019411638413503948,0.956132994087171,0.014376044468207361,0.9578690610915748,0.018530759685168506,0.954400895856663,0.025560374787561357,0.9558724832677333,0.01493920472594183,1.8807603597640992,0.09900294799081182
3,minkowski1,Majority_class,Mutual_classifier,0.9554962465264817,0.012336072990173157,0.9544299482678472,0.02624621144831321,0.9576248133631953,0.01733101174623924,0.9556893645184397,0.01179495859329763,0.9578628481437026,0.01603595037114518,0.9533482642777157,0.02799229544691256,0.9552664877996115,0.012935089815824833,1.9750126123428344,0.15171225649687983
3,minkowski2,Majority_class,Mutual_classifier,0.9554906177974486,0.014668322026191423,0.9543786351214576,0.027365948483463545,0.9576138484509146,0.015074220319663606,0.9557196768351741,0.01409197942233035,0.9576670112049058,0.014035978388786171,0.953337066069429,0.028870345353476014,0.9552302495689908,0.015284543259809023,3.3262322902679444,0.552113254248293
3,minkowski2,Sheppards_Work,Mutual_classifier,0.9554878034329322,0.0159175646737074,0.9563430002584029,0.02923279603140914,0.9555083519970138,0.014849826960310565,0.9556379971040802,0.015281890776790583,0.9557045743199005,0.014043094864663548,0.9554759238521837,0.030751502426900095,0.9553092035713304,0.016583036553374612,3.3526837825775146,0.4344101327406296
