K,Distance,Voting scheme,Weight scheme,Accuracy_mean,Accuracy_std,Precision_Class_0_mean,Precision_Class_0_std,Recall_Class_0_mean,Recall_Class_0_std,F1_Class_0_mean,F1_Class_0_std,Precision_Class_1_mean,Precision_Class_1_std,Recall_Class_1_mean,Recall_Class_1_std,F1_Class_1_mean,F1_Class_1_std,Solving Time_mean,Solving Time_std
7,HEOM,Majority_class,Mutual_classifier,0.9626127462792906,0.008679339338273015,0.9652652912941578,0.00883450642990885,0.996980772266333,0.0032828845721807965,0.9808433283999471,0.004532930610702365,0.58,0.45111658453165543,0.10896325896325895,0.08465643936368357,0.17976558529190106,0.13647665987005406,47.936316299438474,0.8131594295991315
7,minkowski2,Majority_class,Mutual_classifier,0.9626120482870301,0.008862949467966046,0.9655131132879932,0.008969566037711225,0.996697589086781,0.0025183353225601015,0.9808358206638454,0.004636817863411296,0.5483333333333333,0.43036375656293707,0.11665556665556664,0.08750772605244646,0.18888287638287637,0.1409647669112577,12.694141340255737,0.16292336228953028
7,minkowski1,Majority_class,ANOVA,0.9623474980224798,0.00824981577864298,0.9654972226882024,0.008066293102173402,0.996419828104546,0.002611021278998979,0.9806977912278191,0.004331360746080963,0.49333333333333335,0.44041226477354484,0.10870102120102118,0.09989692054424518,0.1745798319327731,0.15686865360020769,6.78857159614563,0.032210127696753604
5,minkowski1,Majority_class,Mutual_classifier,0.9623453853828028,0.008263995356709327,0.9655034917866689,0.008512426182250118,0.9964220738152386,0.0031814182371821672,0.9806970977908129,0.004332575321097904,0.5154761904761905,0.4315756695864436,0.11154193029193027,0.09883536444617647,0.17744133885438232,0.15163119607983605,7.395055150985717,0.11783324197779216
7,HEOM,Sheppards_Work,Mutual_classifier,0.9620822423005109,0.009167578235432731,0.9654828503613198,0.008092688547017385,0.9961397672912442,0.003493382707680013,0.9805561481602009,0.004807186336272616,0.5033333333333333,0.4571651780264984,0.10870102120102118,0.09989692054424518,0.17535714285714285,0.15861905834083823,47.69920966625214,0.6179709570286058
7,minkowski2,Inverse_Distance_Weights,Mutual_classifier,0.962080133393413,0.00926455745771624,0.9647419934742475,0.008938721762876155,0.9969715616895206,0.002733563653695006,0.9805718868190075,0.004850622788348392,0.53,0.4264264370003806,0.09449647574647572,0.07997638881571252,0.15857908660540238,0.1318746880061213,12.73571445941925,0.07262256796955804
7,HEOM,Majority_class,ANOVA,0.9618176957685396,0.00856382567473319,0.9652329218349308,0.008490005562439572,0.9961473485405132,0.0029481919281961803,0.9804265210891883,0.004491597857382026,0.49000000000000005,0.43767060165786276,0.10415556665556665,0.0948067102253151,0.16849517584811702,0.1500316186925984,24.593559670448304,0.657121746788345
7,minkowski2,Majority_class,ANOVA,0.9618176957685396,0.00856382567473319,0.9652329218349308,0.008490005562439572,0.9961473485405132,0.0029481919281961803,0.9804265210891883,0.004491597857382026,0.49000000000000005,0.43767060165786276,0.10415556665556665,0.0948067102253151,0.16849517584811702,0.1500316186925984,11.889457821846008,0.543125811512673
7,minkowski1,Sheppards_Work,ANOVA,0.9618169940436999,0.008382365509203505,0.9649805119302354,0.008261673826362132,0.996419828104546,0.002611021278998979,0.9804301710690438,0.004406542847438763,0.48166666666666663,0.43293785372173815,0.09646325896325894,0.08611441308737532,0.15820105820105818,0.13910363846219162,6.785639905929566,0.07261835501420177
7,minkowski1,Majority_class,Mutual_classifier,0.9618155868614415,0.007813152585804959,0.9644874184777441,0.008292811556005409,0.9969792792276261,0.002727530836524317,0.9804432401166576,0.004096954018737872,0.5166666666666666,0.4743416490252569,0.08396325896325894,0.0747083544437693,0.1434885290148448,0.1276790322016625,7.363126468658447,0.04096943693086857
5,HEOM,Majority_class,Mutual_classifier,0.9618155868614415,0.008484693702237294,0.9649877947289662,0.00896500427130256,0.9964237404676133,0.00292213942282411,0.9804296118343707,0.004451673714719982,0.5349999999999999,0.3895589465530296,0.10405015735898086,0.0637875186340384,0.17027705627705628,0.10350418141938704,47.65684397220612,0.6758505398527477
5,HEOM,Sheppards_Work,Mutual_classifier,0.961814888869181,0.008580774119019275,0.9654745209242238,0.008482183402741683,0.9958611126482528,0.0014535567348902727,0.9804157183470423,0.004525581390370083,0.4666666666666666,0.28920922410711936,0.1128788286876522,0.07757129491317034,0.1807282913165266,0.1209341595390237,47.72563664913177,0.5330203910838287
5,minkowski2,Majority_class,Mutual_classifier,0.9615531455039893,0.009350797380721946,0.9654759925239393,0.008976191637735999,0.9955986133382169,0.003919225935899754,0.980282412754297,0.004885038858380871,0.5383333333333333,0.43019160244571814,0.11665556665556664,0.08750772605244646,0.18758417508417508,0.14003026827865295,12.650034141540527,0.053670195603116845
7,HEOM,Sheppards_Work,ANOVA,0.9615524437791496,0.008290654601428681,0.9649727105117958,0.008255660640071773,0.9961473485405132,0.0029481919281961803,0.9802930421424586,0.004355903697219938,0.48166666666666663,0.43293785372173815,0.09646325896325894,0.08611441308737532,0.15820105820105818,0.13910363846219162,24.414157032966614,0.3022238353539699
7,minkowski2,Sheppards_Work,ANOVA,0.9615524437791496,0.008290654601428681,0.9649727105117958,0.008255660640071773,0.9961473485405132,0.0029481919281961803,0.9802930421424586,0.004355903697219938,0.48166666666666663,0.43293785372173815,0.09646325896325894,0.08611441308737532,0.15820105820105818,0.13910363846219162,11.788496398925782,0.21193079766039055
